"senecio",,"salita","Estoy bastante cansado... lo bueno de llegar el primero es que puedo elegir habitación"
"senecio",,"verde","Por un lado tenemos esta preciosidad de habitación... aunque está demasiado... recargada"
"senecio",,"azul"," *Senecio enmudece por un momento* Es preciosa... me recuerda a mi viaje por el mar... la calma."
"senecio",,"roja","Vaya... esto es otra cosa, parece digna de un rey *senecio se sienta en la cama y comprueba el colchón*"
"senecio",,"roja","Es terriblemente cómoda... podría quedarme aquí... pero como reza el dicho, mejor mirar que lamentar"
"senecio",,"roja","Déjame explorar las otras habitaciones antes de tomar una decisión definitiva."
"senecio",,"azul","Aunque las otras parezcan un palacio, reitero que la calma que viene atribuida a esta habitación es un regalo"
"senecio",,"azul","Voy a probar el colchón *Senecio se tumba y suena un crugido* ¡Está hecho una porquería este colchón!"
"senecio",,"azul","Por poco me apuñala un muelle, que es ¿del siglo pasado? Que decepción..."
"senecio",,"verde","Y tú, definitivamente eres un 'no' dudo que con esta intensidad de color lograse pegar ojo. Aún así..."
"senecio",,"verde","*Senecio se tumba y prueba el colchón, es el más comodo de los tres* Oh dios mío, este colchón es como una gran nube"
"senecio",,"verde","La habitación más fea y con mejor cama, esto es un chiste. Aunque..."
