,,"verde","Senecio deshace la cama por completo, deja las sabanas tiradas por el suelo, y recoge el colchón"
"senecio",,"azul","Uff pesa bastante más de lo que pensaba"
,,"azul","Senecio deshace la cama de la habitación azul, y coloca el colchón que cargaba. Rehace la cama con el colchón cómodo"
"senecio",,"azul","Ahora sí *Senecio se mete en la cama* es como estar en el cielo..."
,,"azul","Senecio se duerme en seguida, cobijado por cómodas mantas y grandes almohadones, sueña con un... angel"
"angel",,"azul",""
,,"azul","Senecio despierta sereno, su expresión revela una paz interior que ya no recordaba."
"senecio",,"azul","He podido dormir... como antes de que fuese reclutado... y he soñado... con ella... *sonrie ensimismado*"
,,"azul","Senecio siente la necesidad de estirar las piernas y despejar su mente. Recuerda que dejó su libro favorito en la sala principal y decide ir a buscarlo."
,,"salita","Al entrar en la acogedora sala, sus ojos buscan su libro en la mesa auxiliar. Allí está, justo donde lo dejó la noche anterior. "
,,"salita","Senecio lo recoge con una sonrisa, sintiendo la familiaridad reconfortante de su historia favorita."
,,"salita","Con el libro en mano, su mirada se dirige hacia la puerta, esperando ver a su mujer llegar. "
"senecio",,"salita"," *Suspira* Pensé que ya habrías llegado Dahlia..."
,,"salita","La ilusión llena su corazón mientras imagina la puerta abriéndose para revelar a Dahlia, con una sonrisa radiante y los ojos llenos de amor."
,,"salita","Sin embargo, la sala está vacía, y la expectativa se mezcla con un toque de melancolía."
,,"vestibulo","Decidido, abandona la estancia. Los pasillos majestuosos lo envuelven nuevamente mientras avanza hacia el vestíbulo, esperando encontrar distracción en la grandiosidad del lugar."
,,"vestibulo","Las puertas numeradas y las luces suaves crean una atmósfera acogedora en el vestíbulo. Senecio se sumerge en la elegancia del entorno."
,,"recepcion","Finalmente, llega a la recepción, donde el murmullo de conversaciones y la música clásica le dan la bienvenida."
"senecio",,"recepcion"," *Senecio ee acerca al mostrador, donde el recepcionista, siempre atento, lo saluda con una sonrisa*"
"rubia",,"recepcion","Señ *carraspea* disculpe, Senecio, buenos días."
"senecio",,"recepcion","Buenos días Thomas ¿Tiene alguna noticia sobre mi mujer?"
"rubia",,"recepcion","Oh, he estado esperando que preguntase. Parece que Dahlia está disfrutando de nuestro piano en la sala de música del hotel en este momento."
"senecio",,"recepcion","¿En la sala de música? No se me habría ocurrido buscarla ahí... Gracias, Thomas. ¿Cómo llego a la sala de música desde aquí?"
"rubia",,"recepcion","Es mi trabajo *sonrie ampliamente*. Para llegar a la sala de música, simplemente debe subir las escaleras que están al final del pasillo, primera puerta a la derecha."
"senecio",,"recepcion","Perfecto, muchas gracias Thomas. Voy a buscarla de inmediato."
,,"recepcion","Senecio se encamina hacia las escaleras, agradeciendo eternamente la amabilidad de Thomas."
,,"escaleras"," El murmullo de la recepción se desvanecía a medida que subía las escaleras, ansioso por reunirse con Dahlia en la sala de música."
"dal",,"salamusica","*Dahlia estaba completamente inmersa en la melodía, sus dedos danzaban sobre las teclas del piano con destreza y pasión. "
,,"salamusica","La música llenaba la sala, envolviendo cada rincón con una atmósfera encantadora."
"senecio",,"salamusica","*Senecio quedó enmudecido admirando a Dahlia mientras tocaba. Después, decidió acercarse con cautela para no interrumpirla.*"
"senecio",,"salamusica","Dahlia, mi amor, no quería interrumpir... pero no podía esperarmás para escuchar tu voz."
"dal",,"salamusica","*Dahlia, sorprendida, apartó la mirada del piano al escuchar la voz de su marido. Una sonrisa se formó en sus labios.*"
"dal",,"salamusica","Senecio, disculpame estaba sumida en esta hermosa melodía..."
"senecio",,"salamusica","*Se acercó y le devolvió la sonrisa.* Thomas me sugirió que te buscase aquí. Este lugar es maravilloso... y tú..."
"senecio",,"salamusica","*Senecio admira a Dalhia, la mujer a la que llevaba cuatro largos años sin ver* Querida, estas tan arrebatadora como siempre"
"dal",,"salamusica","*Dahlia se ruborizó* Ah, no has cambiado nada mi amor... ¿Por qué no te unes a mí?"
"senecio",,"salamusica","*Ensimismado y algo nervioso* S-sí, como no, vida mía"
,,"salamusica","Senecio y Dahlia comenzaron a tocar. Compartiendo el placer de la música y de su mutua compañía arrebatada durante demasiados años."
,,"salamusica","El sonido del piano, las risas y la complicidad entre ambos crearon un momento mágico en la elegante sala, donde el tiempo pareció detenerse por un instante."
